ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,ProductCategoryID,ProductModelID
680,"HL Road Frame - Black, 58",FR-R92B-58,Black,1059.31,1431.5,58,18,6
706,"HL Road Frame - Red, 58",FR-R92R-58,Red,1059.31,1431.5,58,18,6
707,"Sport-100 Helmet, Red",HL-U509-R,Red,13.0863,34.99,NULL,35,33
708,"Sport-100 Helmet, Black",HL-U509,Black,13.0863,34.99,NULL,35,33
709,"Mountain Bike Socks, M",SO-B909-M,White,3.3963,9.5,M,27,18
710,"Mountain Bike Socks, L",SO-B909-L,White,3.3963,9.5,L,27,18
711,"Sport-100 Helmet, Blue",HL-U509-B,Blue,13.0863,34.99,NULL,35,33
712,AWC Logo Cap,CA-1098,Multi,6.9223,8.99,NULL,23,2
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,Multi,38.4923,49.99,S,25,11
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,Multi,38.4923,49.99,M,25,11
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,Multi,38.4923,49.99,L,25,11
716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,Multi,38.4923,49.99,XL,25,11
717,"HL Road Frame - Red, 62",FR-R92R-62,Red,868.6342,1431.5,62,18,6
718,"HL Road Frame - Red, 44",FR-R92R-44,Red,868.6342,1431.5,44,18,6
719,"HL Road Frame - Red, 48",FR-R92R-48,Red,868.6342,1431.5,48,18,6
